,MM_Stage2Filtered,RSSCORE,RSSCORE_D1,RSSCORE_D5,RSSCORE_D10,RSSCORE_D15,RSSCORE_D20,SCTRSCORE,SCTRSCORE_D1,SCTRSCORE_D5,SCTRSCORE_D10,SCTRSCORE_D15,SCTRSCORE_D20,MRSQUARE,MRSQUARE_D1,MRSQUARE_D5,MRSQUARE_D10,MRSQUARE_D15,MRSQUARE_D20,RSSCORE_SECTOR_RANK,SCTRSCORE_SECTOR_RANK,MRSQUARE_SECTOR_RANK,TR.GICSINDUSTRY,TR.GICSINDUSTRYGROUP,TR.GICSSECTOR,RSSCORE_SECTOR_MEDIAN,SCTRSCORE_SECTOR_MEDIAN,MRSQUARE_SECTOR_MEDIAN,RSSCORE_SECTOR_BEST,SCTRSCORE_SECTOR_BEST,MRSQUARE_SECTOR_BEST
GCO,False,69.87547892720306,-5.890804597701148,-3.544061302681996,-18.39080459770115,-7.614942528735639,-6.657088122605373,64.71,-3.5800000000000125,-10.13000000000001,-15.490000000000007,3.539999999999992,9.429999999999993,60.9,-0.6000000000000014,-1.0,-7.800000000000004,-13.300000000000004,-21.29999999999999,48.0,57.0,56.0,Specialty Retail,Retailing,Consumer Discretionary,31.369731800766285,38.16,37.05,DDS,MUSA,TEN
GDDY,False,83.33333333333334,-3.544061302681982,-0.6226053639846612,0.6226053639846754,11.159003831417635,15.421455938697337,81.64,-12.329999999999998,-3.3400000000000034,-6.980000000000004,0.6700000000000017,0.6700000000000017,78.0,-0.2000000000000028,0.0,-3.1000000000000085,-3.1000000000000085,-0.4000000000000057,33.0,26.0,36.0,IT Services,Software & Services,Information Technology,44.6360153256705,36.585,45.1,POLY,MGI,POLY
GES,False,64.70306513409962,-5.268199233716473,3.448275862068968,-7.423371647509569,9.913793103448278,21.360153256704983,81.3,-1.0499999999999972,-1.240000000000009,-2.9200000000000017,3.390000000000001,20.129999999999995,63.8,1.4000000000000057,7.500000000000007,10.6,14.500000000000009,19.500000000000007,57.0,27.0,52.0,Specialty Retail,Retailing,Consumer Discretionary,31.369731800766285,38.16,37.05,DDS,MUSA,TEN
GPC,False,68.82183908045977,0.5747126436781542,1.1494252873563229,4.741379310344826,9.051724137931023,18.486590038314176,78.86,1.480000000000004,2.819999999999993,13.25,11.379999999999995,24.82,68.60000000000001,2.300000000000012,11.700000000000015,22.800000000000004,31.70000000000001,37.20000000000001,50.0,30.0,42.0,Distributors,Retailing,Consumer Discretionary,31.369731800766285,38.16,37.05,DDS,MUSA,TEN
HAYN,False,78.5919540229885,-7.9501915708812305,-11.637931034482762,-12.356321839080463,-9.339080459770116,-4.2145593869731925,64.9,-15.159999999999997,-18.89,-21.419999999999987,-18.27,-16.64,87.8,-1.6000000000000083,-4.700000000000003,0.5,5.900000000000006,12.299999999999995,36.0,54.0,26.0,Metals & Mining,Materials,Materials,63.793103448275865,67.0,59.0,IPI,CF,IPI
HCC,False,98.46743295019157,0.0478927203065069,0.5268199233716473,0.095785440613028,0.3352490421455911,0.095785440613028,96.7,0.2400000000000091,5.88000000000001,-0.6199999999999903,1.0,1.3400000000000034,88.5,-1.4000000000000057,-6.399999999999992,-8.099999999999994,-9.200000000000005,-10.299999999999995,5.0,10.0,25.0,Metals & Mining,Materials,Materials,63.793103448275865,67.0,59.0,IPI,CF,IPI
HE,False,62.73946360153256,-0.8141762452107315,-5.747126436781613,-5.50766283524905,-5.79501915708812,1.5325670498084278,73.98,-1.769999999999996,-6.319999999999993,-3.450000000000003,-0.4799999999999897,9.420000000000002,73.5,0.2000000000000028,4.400000000000006,6.700000000000003,10.1,9.799999999999995,43.0,39.0,40.0,Electric Utilities,Utilities,Utilities,78.40038314176245,84.46,82.3,SJI,SJI,SJI
HHC,False,79.88505747126436,0.8620689655172384,4.6455938697317976,12.260536398467424,20.354406130268195,10.057471264367804,86.66,0.2399999999999948,3.3999999999999915,13.299999999999995,15.689999999999998,2.390000000000001,75.2,0.7000000000000028,1.5,6.400000000000006,9.400000000000006,13.300000000000004,40.0,21.0,56.0,Real Estate Management & Development,Real Estate,Real Estate,69.15708812260536,68.24,71.15,APTS,APTS,FPI
HII,False,85.53639846743295,1.2452107279693507,2.8735632183907995,5.699233716475092,16.379310344827587,27.44252873563218,89.77,1.9699999999999989,1.9200000000000017,4.829999999999998,20.52,37.63999999999999,89.5,1.2000000000000028,7.0,11.399999999999991,13.0,9.399999999999991,33.0,22.0,31.0,Aerospace & Defense,Capital Goods,Industrials,51.053639846743295,49.88,47.7,CAR,CNR,AVAV
HLT,True,89.272030651341,-0.9578544061302664,4.4061302681992345,8.237547892720315,20.01915708812261,13.505747126436788,87.33,-2.049999999999997,10.049999999999995,7.319999999999993,22.379999999999995,13.78,67.9,1.5,4.800000000000004,6.1000000000000085,5.900000000000006,5.6000000000000085,12.0,15.0,43.0,"Hotels, Restaurants & Leisure",Consumer Services,Consumer Discretionary,31.369731800766285,38.16,37.05,DDS,MUSA,TEN
